Vdiff_input_V,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V,Vout_OPA828_V,Vout_ADA4817_V
-0.00024944944944944945,-5.570491891911912,-5.5704919030130124,-5.5704919030130124,-5.5704919030130124,-5.5704919030130124
-0.00024864864864864865,-5.570491763783783,-5.570491776486486,-5.570491776486486,-5.570491776486486,-5.570491776486486
-0.00024784784784784785,-5.570491635655656,-5.57049164995996,-5.57049164995996,-5.57049164995996,-5.57049164995996
-0.00024704704704704705,-5.570491507527528,-5.570491523433433,-5.570491523433433,-5.570491523433433,-5.570491523433433
-0.00024624624624624625,-5.5704913793993995,-5.570491396906907,-5.570491396906907,-5.570491396906907,-5.570491396906907
-0.00024544544544544545,-5.570491251271272,-5.570491270380381,-5.570491270380381,-5.570491270380381,-5.570491270380381
-0.00024464464464464466,-5.570491123853854,-5.570491143143143,-5.570491143143143,-5.570491143143143,-5.570491143143143
-0.00024384384384384386,-5.570490997327328,-5.5704910150150155,-5.5704910150150155,-5.5704910150150155,-5.5704910150150155
-0.00024304304304304306,-5.570490870800801,-5.570490886886887,-5.570490886886887,-5.570490886886887,-5.570490886886887
-0.00024224224224224226,-5.570490744274275,-5.570490758758758,-5.570490758758758,-5.570490758758758,-5.570490758758758
-0.00024144144144144146,-5.570490617747748,-5.570490630630631,-5.570490630630631,-5.570490630630631,-5.570490630630631
-0.00024064064064064066,-5.570490491221221,-5.570490502502502,-5.570490502502502,-5.570490502502502,-5.570490502502502
-0.00023983983983983986,-5.570490364694694,-5.570490374694694,-5.570490374694694,-5.570490374694694,-5.570490374694694
-0.00023903903903903906,-5.570490238168168,-5.570490248168168,-5.570490248168168,-5.570490248168168,-5.570490248168168
-0.00023823823823823826,-5.570490111641641,-5.570490121641641,-5.570490121641641,-5.570490121641641,-5.570490121641641
-0.00023743743743743747,-5.570489985115115,-5.570489995115115,-5.570489995115115,-5.570489995115115,-5.570489995115115
-0.00023663663663663667,-5.570489858588589,-5.570489868588589,-5.570489868588589,-5.570489868588589,-5.570489868588589
-0.00023583583583583587,-5.570489732062062,-5.570489742062062,-5.570489742062062,-5.570489742062062,-5.570489742062062
-0.00023503503503503507,-5.570489605535536,-5.570489615535536,-5.570489615535536,-5.570489615535536,-5.570489615535536
-0.00023423423423423424,-5.570489477477477,-5.570489487477477,-5.570489487477477,-5.570489487477477,-5.570489487477477
-0.00023343343343343344,-5.57048934934935,-5.57048935934935,-5.57048935934935,-5.57048935934935,-5.57048935934935
-0.00023263263263263265,-5.570489221221221,-5.570489231221221,-5.570489231221221,-5.570489231221221,-5.570489231221221
-0.00023183183183183185,-5.570489093093093,-5.5704891030930925,-5.5704891030930925,-5.5704891030930925,-5.5704891030930925
-0.00023103103103103105,-5.570488964964965,-5.570488974964965,-5.570488974964965,-5.570488974964965,-5.570488974964965
-0.00023023023023023025,-5.570488836836836,-5.570488846836836,-5.570488846836836,-5.570488846836836,-5.570488846836836
-0.00022942942942942945,-5.570488709849849,-5.570488719849849,-5.570488719849849,-5.570488719849849,-5.570488719849849
-0.00022862862862862865,-5.570488583323323,-5.570488593323323,-5.570488593323323,-5.570488593323323,-5.570488593323323
-0.00022782782782782785,-5.570488456796797,-5.570488466796797,-5.570488466796797,-5.570488466796797,-5.570488466796797
-0.00022702702702702705,-5.57048833027027,-5.57048834027027,-5.57048834027027,-5.57048834027027,-5.57048834027027
-0.00022622622622622625,-5.570488203743744,-5.570488213743744,-5.570488213743744,-5.570488213743744,-5.570488213743744
-0.00022542542542542546,-5.570488077217218,-5.5704880872172176,-5.5704880872172176,-5.5704880872172176,-5.5704880872172176
-0.00022462462462462466,-5.564779767507508,-5.564900746726727,-5.564900746726727,-5.564900746726727,-5.564900746726727
-0.00022382382382382386,-5.552602183523524,-5.552981230410411,-5.552981230410411,-5.552981230410411,-5.552981230410411
-0.00022302302302302303,-5.54042459953954,-5.541061714094094,-5.541061714094094,-5.541061714094094,-5.541061714094094
-0.00022222222222222223,-5.528247015555555,-5.5291421977777775,-5.5291421977777775,-5.5291421977777775,-5.5291421977777775
-0.00022142142142142143,-5.516069431571571,-5.517222681461462,-5.517222681461462,-5.517222681461462,-5.517222681461462
-0.00022062062062062064,-5.503891847587587,-5.505303165145145,-5.505303165145145,-5.505303165145145,-5.505303165145145
-0.00021981981981981984,-5.4899542758558555,-5.4915642762162165,-5.4915642762162165,-5.4915642762162165,-5.4915642762162165
-0.00021901901901901904,-5.4699545241041045,-5.4715586593994,-5.4715586593994,-5.4715586593994,-5.4715586593994
-0.00021821821821821824,-5.449954772352353,-5.451553042582583,-5.451553042582583,-5.451553042582583,-5.451553042582583
-0.00021741741741741744,-5.429955020600601,-5.431547425765766,-5.431547425765766,-5.431547425765766,-5.431547425765766
-0.00021661661661661664,-5.409955268848849,-5.411541808948949,-5.411541808948949,-5.411541808948949,-5.411541808948949
-0.00021581581581581584,-5.389955517097097,-5.391536192132133,-5.391536192132133,-5.391536192132133,-5.391536192132133
-0.00021501501501501504,-5.369955765345346,-5.371530575315316,-5.371530575315316,-5.371530575315316,-5.371530575315316
-0.00021421421421421424,-5.349955961731732,-5.351524906636637,-5.351524906636637,-5.351524906636637,-5.351524906636637
-0.00021341341341341345,-5.3299561571271274,-5.331519236966967,-5.331519236966967,-5.331519236966967,-5.331519236966967
-0.00021261261261261265,-5.309956352522523,-5.311513567297298,-5.311513567297298,-5.311513567297298,-5.311513567297298
-0.00021181181181181182,-5.289956547917918,-5.2915078976276275,-5.2915078976276275,-5.2915078976276275,-5.2915078976276275
-0.00021101101101101102,-5.269956743313314,-5.271502227957957,-5.271502227957957,-5.271502227957957,-5.271502227957957
-0.00021021021021021022,-5.249956938708709,-5.251496558288288,-5.251496558288288,-5.251496558288288,-5.251496558288288
-0.00020940940940940942,-5.2299571281981985,-5.231490882712713,-5.231490882712713,-5.231490882712713,-5.231490882712713
-0.00020860860860860862,-5.209957315585586,-5.211485205035035,-5.211485205035035,-5.211485205035035,-5.211485205035035
-0.00020780780780780783,-5.189957502972973,-5.191479527357357,-5.191479527357357,-5.191479527357357,-5.191479527357357
-0.00020700700700700703,-5.169957690360361,-5.17147384967968,-5.17147384967968,-5.17147384967968,-5.17147384967968
