Time_s,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V,Vout_OPA828_V,Vout_ADA4817_V
7.023511755877939e-06,-0.9420874835242212,0.2922628822746175,-0.16587834103991905,-0.680486921327863,-1.0944639337756954
7.029514757378689e-06,-0.9559415858322556,0.28921315142175097,-0.17961242570953428,-0.6950632198815803,-1.1074684164343063
7.03551775887944e-06,-0.9697107719624004,0.2861432336426815,-0.19333052340200022,-0.7095777338763374,-1.1203745693580054
7.04152076038019e-06,-0.9833938222312959,0.2830533895532766,-0.2070314142082844,-0.7240291759146376,-1.1331812452863206
7.0475237618809405e-06,-0.9969895233549981,0.279943882548234,-0.22071388061076605,-0.7384162636089852,-1.1458873036026278
7.053526763381691e-06,-1.010496672907654,0.27681497725342663,-0.23437670670941504,-0.7527377201974791,-1.1584916181707021
7.0595297648824405e-06,-1.0239140780216098,0.2736669407612609,-0.24801867868532151,-0.7669922753156366,-1.1709930728743267
7.065532766383191e-06,-1.037240541310854,0.270500040397319,-0.26163858364596154,-0.7811786639177773,-1.1833905560476703
7.071535767883941e-06,-1.0504748879265624,0.26731454649318687,-0.27523521108622206,-0.7952956272795187,-1.1956829727487888
7.077538769384692e-06,-1.0636159422937457,0.2641107314570688,-0.2888073524323749,-0.8093419136904839,-1.207869230197607
7.083541770885442e-06,-1.0766625426715348,0.26088886800746397,-0.302353802187813,-0.823316277833716,-1.2199482379125692
7.089544772386193e-06,-1.0896135335349661,0.25764923079725893,-0.3158733564795186,-0.8372174797130553,-1.2319189254521397
7.095547773886943e-06,-1.1024677669472729,0.2543920972421613,-0.3293648138178881,-0.8510442862782382,-1.2437802256308832
7.1015507753876935e-06,-1.1152240967573777,0.251117745381471,-0.3428269746507043,-0.8647954719380279,-1.2555310836419236
7.107553776888444e-06,-1.1278814050535262,0.24782645494619326,-0.3562586428091639,-0.8784698169829708,-1.2671704523198357
7.113556778389194e-06,-1.1404385632678329,0.24451850698213132,-0.3696586250668525,-0.8920661095340461,-1.2786972913081265
7.119559779889945e-06,-1.1528944528524256,0.2411941839124964,-0.3830257313275832,-0.9055831432246116,-1.2901105690610228
7.125562781390695e-06,-1.165247971555377,0.23785376972948494,-0.396358772689744,-0.9190197208272528,-1.3014092708917089
7.131565782891446e-06,-1.1774980283269636,0.23449755123521757,-0.4096565650065434,-0.9323746507531567,-1.31259237842547
7.137568784392196e-06,-1.189643524093247,0.23112581511659816,-0.42291792676478296,-0.9456467487423117,-1.3236588938944769
7.1435717858929465e-06,-1.201683384095448,0.2277388501767483,-0.4361416798286746,-0.958834838235418,-1.3346078289390226
7.149574787393697e-06,-1.213616536186694,0.2243369451095746,-0.4493266490138276,-0.9719377500029822,-1.3454381933376818
7.155577788894447e-06,-1.2254419224652329,0.22092039198439212,-0.46247166319695887,-0.984954322515218,-1.356149022553712
7.161580790395197e-06,-1.2371584839971976,0.21748948392412235,-0.4755755538923851,-0.9978834018899438,-1.3667393482123982
7.167583791895947e-06,-1.2487651860638307,0.21404451400158114,-0.48863715725702717,-1.0107238419937956,-1.3772082114616868
7.173586793396698e-06,-1.2602609871043513,0.21058577729358705,-0.5016553135530155,-1.0234745036102042,-1.3875546765505435
7.179589794897448e-06,-1.2716448582899438,0.20711357056266166,-0.514628865270574,-1.036134258226312,-1.3977778120832705
7.185592796398199e-06,-1.2829157917438712,0.2036281915733269,-0.5275566606387385,-1.0487019809732858,-1.4078766923338473
7.191595797898949e-06,-1.2940727723213599,0.20012993877280671,-0.5404375512118448,-1.0611765529272625,-1.4178504072709428
7.1975987993996995e-06,-1.3051148017196592,0.19661911188752398,-0.5532703922324355,-1.0735568792544266,-1.4276980498641998
7.20360180090045e-06,-1.3160408948590288,0.1930960130504055,-0.5660540435505543,-1.0858418551009497,-1.4374187371713594
7.2096048024012e-06,-1.3268500738677333,0.18956094403397716,-0.5787873707866528,-1.098030381633016,-1.4470115908327144
7.215607803901951e-06,-1.3375413601120554,0.18601420793406728,-0.5914692424909846,-1.1101213872448217,-1.4564757365966663
7.221610805402701e-06,-1.3481138021662828,0.1824561092069036,-0.6040985322970079,-1.1221138003305648,-1.4658103188722624
7.227613806903452e-06,-1.3585664486047018,0.17888695295331689,-0.6166741174185885,-1.1340065492844413,-1.4750144977932542
7.233616808404202e-06,-1.3688983544576288,0.17530704595533764,-0.6291948821507956,-1.1457985721846924,-1.4840874421140193
7.2396198099049525e-06,-1.3791085915623815,0.1717166956736967,-0.6416597144413012,-1.1574888307035522,-1.4930283320183348
7.245622811405703e-06,-1.3891962417762884,0.1681162102167283,-0.6540675069239823,-1.16907628681921,-1.5018363505708894
7.2516258129064525e-06,-1.3991603969766875,0.16450589937246657,-0.6664171572136257,-1.1805598986849415,-1.5105107108892966
7.257628814407203e-06,-1.4090001558129053,0.16088607328134105,-0.6787075689646209,-1.191938651266032,-1.5190506289141585
7.263631815907953e-06,-1.418714626693346,0.1572570423829918,-0.6909376504899639,-1.2032115333026505,-1.5274553321184237
7.269634817408704e-06,-1.428302938312355,0.1536191188198503,-0.7031063157888532,-1.2143775327971975,-1.5357240693765286
7.275637818909454e-06,-1.437764222627313,0.14997261503755904,-0.7152124841967975,-1.2254356652418201,-1.543856095307626
7.281640820410205e-06,-1.447097624883641,0.14631784485374724,-0.7272550810613095,-1.2363849289248614,-1.5518506745508773
7.287643821910955e-06,-1.4563023038207097,0.14265512237316683,-0.7392330367599993,-1.2472243521946966,-1.5597070932748947
7.2936468234117055e-06,-1.4653774247339661,0.13898476343253657,-0.7511452866433006,-1.257952977069534,-1.5674246504291527
7.299649824912456e-06,-1.4743221696758375,0.135307082141611,-0.7629907734381384,-1.2685698353766877,-1.5750026507278512
7.305652826413206e-06,-1.4831357307187587,0.13162239564732395,-0.7747684451946564,-1.279073972251525,-1.5824404204446538
7.311655827913957e-06,-1.4918173132482238,0.12793102108252144,-0.7864772563324857,-1.2894644528694341,-1.589737298589066
7.317658829414707e-06,-1.5003661360936462,0.12423327626483267,-0.7981161662560873,-1.299740352551675,-1.5968926357300572
7.323661830915458e-06,-1.508781421387494,0.12052947832910453,-0.8096841417364083,-1.3099007465086543,-1.603905796691882
7.329664832416208e-06,-1.5170624145144576,0.11681994674499237,-0.8211801552064236,-1.3199447233746877,-1.610776156318805
7.3356678339169585e-06,-1.5252083778287144,0.1131050013377088,-0.8326031864605905,-1.3298713784102052,-1.61750311106458
7.341670835417709e-06,-1.53321856671916,0.10938496057232601,-0.843952219964983,-1.3396798202795401,-1.6240860642440222
7.347673836918459e-06,-1.5410922768580293,0.1056601459351675,-0.8552262475269037,-1.3493691676162083,-1.6305244323709163
7.353676838419209e-06,-1.5488287904620304,0.10193087757058562,-0.866424268644021,-1.358938559129564,-1.6368176562093282
7.359679839919959e-06,-1.5564274198287136,0.0981974768269979,-0.8775452878198488,-1.3683871301958968,-1.6429651791190971
7.36568284142071e-06,-1.5638874872756372,0.0944602650525906,-0.8885883175744864,-1.3777140195237612,-1.6489664518993068
7.37168584292146e-06,-1.5712083251403695,0.09071956416313595,-0.8995523767743461,-1.38691839588174,-1.654820957038571
7.377688844422211e-06,-1.5783892791285639,0.08697569634200929,-0.9104364912998492,-1.3959994380100043,-1.660528187956758
7.383691845922961e-06,-1.5854297149858922,0.08322898417260265,-0.921239693710114,-1.4049563180602291,-1.6660876338884847
7.3896948474237115e-06,-1.5923290084238115,0.07947975040621134,-0.9319610235836912,-1.4137882348318154,-1.6714988132671802
7.395697848924462e-06,-1.5990865385860924,0.0757283181269778,-0.9425995288445214,-1.4224943938503245,-1.6767612537129695
7.401700850425212e-06,-1.6057017113084537,0.07197501052008626,-0.9531542640937463,-1.431074010577088,-1.6818744920547948
7.407703851925963e-06,-1.6121739490935463,0.06822015107132194,-0.9636242902818202,-1.4395263073188589,-1.686838089326858
7.413706853426713e-06,-1.618502677707854,0.06446406339816509,-0.9740086767244422,-1.447850532950075,-1.6916516090240643
7.419709854927464e-06,-1.6246873298133069,0.060707071154513154,-0.9843065010528467,-1.4560459363451728,-1.696314628080408
7.425712856428214e-06,-1.630727367987594,0.05694949829197796,-0.9945168472923662,-1.4641117765428715,-1.7008267417503589
7.4317158579289645e-06,-1.6366222648284143,0.05319166866197085,-1.0046388074047028,-1.4720473358557282,-1.7051875553083968
7.437718859429715e-06,-1.6423714995553778,0.04943390615162775,-1.014671477464132,-1.4798518998201102,-1.7093966899287933
7.4437218609304645e-06,-1.6479745650004995,0.04567653481256065,-1.0246139682157067,-1.4875247609678832,-1.7134537809410557
7.449724862431215e-06,-1.653430977035317,0.04191987859618052,-1.0344653949306641,-1.4950652382785383,-1.7173584736947018
7.455727863931965e-06,-1.6587402517506749,0.03816426138783025,-1.0442248765126554,-1.5024726575577783,-1.721110429454049
7.461730865432716e-06,-1.663901925277438,0.03441000703867174,-1.0538915516710345,-1.5097463543969978,-1.7247093177238488
7.467733866933466e-06,-1.6689155469402697,0.03065743926543502,-1.0634645591151568,-1.5168856749062525,-1.728154819818444
7.473736868434217e-06,-1.6737806797762877,0.026906881653012877,-1.0729430409824903,-1.5238899912988486,-1.731446643001994
7.479739869934967e-06,-1.678496902870835,0.02315865771763509,-1.0823261528636312,-1.5307586729136564,-1.7345844950246885
7.4857428714357175e-06,-1.6830637961922958,0.019413090775131904,-1.0916130635129557,-1.537491108835217,-1.7375680991155125
7.491745872936468e-06,-1.6874809688410204,0.015670503837639058,-1.100802941684842,-1.5440866984774382,-1.7403972008090753
7.497748874437218e-06,-1.691748027442321,0.011931219612835523,-1.1098949664780384,-1.5505448609698844,-1.7430715497301899
7.503751875937969e-06,-1.6958646045496748,0.008195560723148799,-1.1188883332388193,-1.5568650188952475,-1.745590913308098
7.509754877438719e-06,-1.6998303368834418,0.004463849413705181,-1.127782237667834,-1.5630466117724864,-1.7479550712126346
