Frequency_Hz,Gain_Diff_dB,Gain_CM_dB,CMRR_dB
348.836437,86.0163615,-132.208012,218.2243735
356.970366,86.0163615,-109.888334,195.9046955
365.293956,86.0163615,-107.494871,193.5112325
373.81163,86.0163615,-107.744218,193.7605795
382.527913,86.0163615,-110.448648,196.4650095
391.447437,86.0163615,-103.316124,189.33248550000002
400.574939,86.0163615,-108.231741,194.24810250000002
409.915271,86.0163615,-103.563623,189.57998450000002
419.473394,86.0163615,-106.782356,192.7987175
429.254387,86.0163615,-111.453828,197.4701895
439.263446,86.0163615,-100.247799,186.2641605
449.50589,86.0163615,-107.607537,193.6238985
459.98716,86.0163615,-111.030556,197.0469175
470.712825,86.0163615,-107.400488,193.4168495
481.688584,86.0163615,-112.179102,198.19546350000002
492.920268,86.0163615,-107.959653,193.97601450000002
504.413844,86.0163615,-104.939124,190.9554855
516.17542,86.0163615,-106.131692,192.1480535
528.211245,86.0163615,-111.658602,197.6749635
540.527712,86.0163615,-135.465218,221.4815795
553.131366,86.0163615,-102.722276,188.73863749999998
566.028904,86.0163615,-119.786208,205.8025695
579.227178,86.0163615,-99.5772212,185.5935827
592.7332,86.0163615,-115.722149,201.73851050000002
606.554146,86.0163615,-120.15333,206.1696915
620.697359,86.0163615,-111.855929,197.87229050000002
635.170355,86.0163615,-121.689219,207.7055805
649.980821,86.0163615,-111.479924,197.4962855
665.136628,86.0163615,-105.877373,191.8937345
680.645828,86.0163615,-125.763151,211.7795125
696.51666,86.0163615,-100.428791,186.4451525
712.757558,86.0163615,-113.949817,199.9661785
729.37715,86.0163615,-119.843279,205.8596405
746.384266,86.0163615,-133.722851,219.7392125
763.787942,86.0163615,-133.991388,220.0077495
781.597425,86.0163615,-118.685214,204.7015755
799.822178,86.0163615,-109.565607,195.58196850000002
818.471882,86.0163615,-128.01112,214.02748150000002
837.556448,86.0163615,-104.916842,190.9332035
857.086015,86.0163615,-101.475651,187.4920125
877.070959,86.0163615,-105.265223,191.2815845
897.521898,86.0163615,-105.211816,191.22817750000002
918.449698,86.0163615,-102.77166,188.7880215
939.865477,86.0163615,-110.954041,196.9704025
961.780616,86.0163615,-104.163081,190.1794425
984.206757,86.0163615,-103.557082,189.5734435
1007.15581,86.0163615,-102.412808,188.4291695
1030.63998,86.0163615,-108.536404,194.55276550000002
