Vin_V,Vout_V,Local_Gain
-4e-05,-0.799609719,19990.242999999988
-3.5e-05,-0.699658504,19990.24300000001
-3e-05,-0.599707289,19990.24300000001
-2.5e-05,-0.499756074,19990.243000000002
-2e-05,-0.399804859,19990.24289999999
-1.5e-05,-0.299853645,19990.242900000005
-1e-05,-0.19990243,19990.243020000005
-5e-06,-0.0999512148,19990.242999546732
2.91379334e-18,-4.47441255e-12,19990.24297
5e-06,0.0999512149,19990.243000453265
1e-05,0.19990243,19990.24291
1.5e-05,0.299853644,19990.242900000005
2e-05,0.399804859,19990.243
2.5e-05,0.499756074,19990.243000000002
3e-05,0.599707289,19990.243000000017
3.5e-05,0.699658504,19990.243000000002
4e-05,0.799609719,19990.242999999988
4.5e-05,0.899560934,19990.242900000012
5e-05,0.999512148,19990.242599999998
5.5e-05,1.09946336,19990.243199999997
6e-05,1.19941458,19990.243000000017
6.5e-05,1.29936579,19990.243000000017
7e-05,1.39931701,19990.243000000002
7.5e-05,1.49926822,19990.242999999988
8e-05,1.59921944,19990.24299999996
8.5e-05,1.69917065,19990.243000000017
9e-05,1.79912187,19990.243000000017
9.5e-05,1.89907308,19990.243000000017
0.0001,1.9990243,19990.242999999988
0.000105,2.09897551,19990.242999999988
0.00011,2.19892673,19990.243000000046
0.000115,2.29887794,19990.242999999988
0.00012,2.39882916,19990.242999999988
0.000125,2.49878037,19990.242999999988
0.00013,2.59873159,19990.243000000017
0.000135,2.6986828,19990.243000000017
0.00014,2.79863402,19990.243000000017
0.000145,2.89858523,19990.24299999996
0.00015,2.99853645,19990.243000000017
0.000155,3.09848766,19990.24299999996
0.00016,3.19843888,19990.24299999996
0.000165,3.29839009,19990.24199999997
0.00017,3.3983413,19990.243000000017
0.000175,3.49829252,19990.244000000006
0.00018,3.59824374,19990.24299999996
0.000185,3.69819495,19990.242000000027
0.00019,3.79814616,19990.24299999996
0.000195,3.89809738,19990.243000000075
0.0002,3.99804859,19990.243000000075
0.000205,4.09799981,19990.24299999996
0.00021,4.19795102,19990.24299999996
0.000215,4.29790224,19990.243000000133
0.00022,4.39785345,19990.2429999999
0.000225,4.49780467,19990.243000000017
0.00023,4.59775588,19990.24299999996
0.000235,4.6977071,19990.243000000075
0.00024,4.79765831,19990.243000000075
0.000245,4.89760953,19990.243000000017
0.00025,4.99756074,19990.24299999996
0.000255,5.09751196,19990.243000000017
0.00026,5.19746317,19990.243000000133
0.000265,5.29741439,19990.2429999999
0.00027,5.3973656,19990.2429999999
0.000275,5.49731682,19990.243000000133
0.00028,5.59726803,19990.243000000017
0.000285,5.69721925,19990.2429999999
0.00029,5.79717046,19990.2429999999
0.000295,5.89712168,19990.243000000017
0.0003,5.99707289,19990.242000000086
0.000305,6.0970241,19990.2429999999
0.00031,6.19697532,19990.243000000017
0.000315,6.29692653,19990.2429999999
0.00032,6.39687775,19990.243999999948
0.000325,6.49682897,19990.243000000017
0.00033,6.59678018,19990.241999999853
0.000335,6.69673139,19990.243000000017
0.00034,6.79668261,19990.243000000017
0.000345,6.89663382,19990.2429999999
0.00035,6.99658504,19990.24399999983
0.000355,7.09653626,19990.2429999999
0.00036,7.19648747,19990.24199999997
0.000365,7.29643868,19990.243000000017
0.00037,7.3963899,19990.243000000017
0.000375,7.49634111,19990.243000000017
0.00038,7.59629233,19990.243000000133
0.000385,7.69624354,19990.243000000017
0.00039,7.79619476,19990.243000000017
0.000395,7.89614597,19990.243000000017
0.0004,7.99609719,19990.243000000133
0.000405,8.0960484,19990.243000000017
0.00041,8.19599962,19990.2429999999
0.000415,8.29595083,19990.243000000017
