Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
7.31318564e-07,268.2694840909662,9.11617331e-05,-11.3827206,1.413347184353535
7.3138182e-07,268.33274009096624,9.10200731e-05,-11.3820911,1.4139766843535355
7.31452318e-07,268.4032380909663,9.08609307e-05,-11.3813892,1.4146785843535366
7.31535547e-07,268.48646709096624,9.06713367e-05,-11.3805598,1.4155079843535354
7.31636811e-07,268.58773109096626,9.0438164e-05,-11.3795498,1.4165179843535363
7.31740195e-07,268.69111509096626,9.01972937e-05,-11.3785176,1.4175501843535354
7.31831288e-07,268.78220809096626,8.99827043e-05,-11.3776072,1.4184605843535358
7.31925401e-07,268.8763210909662,8.97586904e-05,-11.3766658,1.4194019843535362
7.32029867e-07,268.9807870909662,8.95072913e-05,-11.37562,1.4204477843535361
7.3216446e-07,269.11538009096626,8.91791497e-05,-11.3742712,1.421796584353535
7.32295379e-07,269.24629909096626,8.88553979e-05,-11.3729578,1.4231099843535358
7.32439436e-07,269.39035609096624,8.84939761e-05,-11.3715108,1.4245569843535364
7.32610751e-07,269.5616710909663,8.8057124e-05,-11.3697872,1.4262805843535364
7.32786491e-07,269.73741109096625,8.76010787e-05,-11.3680161,1.4280516843535356
7.3299691e-07,269.9478300909663,8.70445619e-05,-11.3658919,1.4301758843535364
7.33238379e-07,270.18929909096624,8.63919367e-05,-11.3634493,1.4326184843535366
7.3355502e-07,270.5059400909663,8.55136711e-05,-11.3602385,1.4358292843535363
7.33889698e-07,270.84061809096625,8.45579257e-05,-11.3568347,1.4392330843535355
7.34523872e-07,271.4747920909663,8.26706471e-05,-11.3503569,1.4457108843535362
7.35115064e-07,272.0659840909662,8.08230278e-05,-11.3442855,1.451782284353536
7.36297448e-07,273.24836809096627,7.68801444e-05,-11.332049,1.4640187843535362
7.38215642e-07,275.16656209096624,6.98179641e-05,-11.3119349,1.484132884353535
7.41109699e-07,278.06061909096627,5.77588911e-05,-11.2809859,1.5150818843535365
7.44003756e-07,280.9546760909662,4.42776023e-05,-11.2493294,1.5467383843535352
7.46897813e-07,283.8487330909663,2.97060519e-05,-11.2169842,1.5790835843535351
7.48803706e-07,285.75462609096627,1.96872866e-05,-11.1953149,1.6007528843535361
7.49856541e-07,286.8074610909663,1.40556035e-05,-11.1832212,1.6128465843535356
7.50383519e-07,287.3344390909662,1.12183773e-05,-11.1771353,1.618932484353536
7.50723017e-07,287.67393709096626,9.38552335e-06,-11.1732032,1.622864584353536
7.51068609e-07,288.01952909096633,7.51650948e-06,-11.1691913,1.6268764843535362
7.51333702e-07,288.28462209096625,6.0810155e-06,-11.1661077,1.6299600843535362
7.51635953e-07,288.58687309096626,4.44278906e-06,-11.1625853,1.6334824843535358
7.51971166e-07,288.9220860909662,2.62452821e-06,-11.1586706,1.637397184353535
7.52162038e-07,289.1129580909663,1.58877414e-06,-11.1564378,1.639629984353535
7.52301548e-07,289.25246809096626,8.31616029e-07,-11.154804,1.6412637843535354
7.52429518e-07,289.38043809096627,1.37049258e-07,-11.1533041,1.642763684353536
7.52559584e-07,289.51050409096626,-5.68901383e-07,-11.1517783,1.6442894843535356
7.52671651e-07,289.62257109096623,-1.17713853e-06,-11.1504627,1.6456050843535355
7.52800199e-07,289.75111909096626,-1.87477555e-06,-11.1489524,1.647115384353535
7.52938348e-07,289.88926809096625,-2.62440872e-06,-11.1473279,1.6487398843535352
7.53112143e-07,290.0630630909663,-3.56725375e-06,-11.1452822,1.6507855843535353
7.53223597e-07,290.1745170909662,-4.17173224e-06,-11.1439692,1.652098584353535
7.53334908e-07,290.2858280909663,-4.77528843e-06,-11.1426568,1.6534109843535365
7.53465751e-07,290.4166710909663,-5.48452274e-06,-11.141113,1.654954784353535
7.53605614e-07,290.55653409096624,-6.2423446e-06,-11.1394614,1.6566063843535357
7.53737367e-07,290.68828709096624,-6.95589548e-06,-11.1379042,1.6581635843535363
7.53882697e-07,290.83361709096624,-7.74256184e-06,-11.136185,1.6598827843535364
7.54053969e-07,291.00488909096623,-8.6690295e-06,-11.1341569,1.661910884353535
7.54252112e-07,291.2030320909662,-9.73991062e-06,-11.1318079,1.6642598843535357
7.54417809e-07,291.3687290909663,-1.0634576e-05,-11.1298413,1.666226484353535
7.54611194e-07,291.56211409096625,-1.16776459e-05,-11.1275435,1.668524284353536
7.54827939e-07,291.77885909096625,-1.28451837e-05,-11.1249649,1.6711028843535356
7.55056994e-07,292.00791409096627,-1.40770918e-05,-11.122236,1.6738317843535366
7.5537454e-07,292.3254600909662,-1.57812854e-05,-11.1184464,1.677621384353536
7.55661435e-07,292.6123550909663,-1.7316967e-05,-11.1150163,1.6810514843535351
7.56028307e-07,292.9792270909663,-1.92745776e-05,-11.1106211,1.6854466843535363
7.56458879e-07,293.40979909096626,-2.15622842e-05,-11.1054501,1.6906176843535352
7.57101705e-07,294.0526250909662,-2.49554395e-05,-11.0977047,1.6983630843535362
7.5778881e-07,294.7397300909663,-2.85486264e-05,-11.0893922,1.706675584353535
7.58183202e-07,295.1341220909663,-3.05934713e-05,-11.0846051,1.7114626843535365
7.58971987e-07,295.92290709096625,-3.46401757e-05,-11.0749954,1.7210723843535352
7.59270004e-07,296.22092409096626,-3.61529662e-05,-11.071352,1.7247157843535366
7.59507811e-07,296.4587310909662,-3.73533508e-05,-11.0684392,1.7276285843535355
7.59732311e-07,296.6832310909663,-3.84808619e-05,-11.0656838,1.7303839843535354
7.59881501e-07,296.8324210909663,-3.922699e-05,-11.0638476,1.732220184353535
7.60041848e-07,296.99276809096625,-4.00260486e-05,-11.061867,1.7342007843535363
7.60222716e-07,297.1736360909662,-4.09237311e-05,-11.0596265,1.7364412843535355
7.60380731e-07,297.3316510909663,-4.17047615e-05,-11.0576687,1.738399084353535
7.60547711e-07,297.4986310909663,-4.25267685e-05,-11.0556044,1.7404633843535358
7.60737439e-07,297.6883590909663,-4.34565155e-05,-11.0532637,1.7428040843535353
7.60982605e-07,297.93352509096627,-4.46510977e-05,-11.050235,1.745832784353535
7.61258792e-07,298.20971209096626,-4.5987347e-05,-11.046807,1.7492607843535364
7.61556067e-07,298.5069870909663,-4.74140691e-05,-11.0431,1.752967784353535
7.61951482e-07,298.9024020909663,-4.92926068e-05,-11.0381516,1.757916184353535
7.62395171e-07,299.3460910909662,-5.13734124e-05,-11.0325728,1.7634949843535352
7.63116982e-07,300.0679020909663,-5.46943587e-05,-11.0233977,1.7726700843535355
7.63877286e-07,300.82820609096626,-5.8101539e-05,-11.0135384,1.782529384353536
7.65387212e-07,302.33813209096627,-6.4569219e-05,-10.9928525,1.803215284353536
7.66816098e-07,303.7670180909662,-7.02912845e-05,-10.9710617,1.8250060843535358
7.67484391e-07,304.43531109096625,-7.28244737e-05,-10.9599199,1.8361478843535366
7.680156e-07,304.9665200909663,-7.47698552e-05,-10.9505273,1.8455404843535366
7.68319167e-07,305.27008709096623,-7.58537648e-05,-10.9449235,1.851144284353536
7.68548946e-07,305.4998660909663,-7.66605328e-05,-10.9405585,1.855509284353536
7.68801665e-07,305.7525850909662,-7.7534071e-05,-10.9356269,1.860440884353535
