Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
1.45342364e-07,29.580094022741566,1.38397253e-05,2.78758506,4.144381993156741
1.4543728e-07,29.675010022741553,1.58775021e-05,2.86351897,4.220315903156741
1.455369e-07,29.774630022741558,1.80089999e-05,2.94320737,4.300004303156741
1.45645194e-07,29.882924022741555,2.03165074e-05,3.02982928,4.386626213156741
1.45756146e-07,29.99387602274156,2.2668985e-05,3.11857557,4.475372503156741
1.45873302e-07,30.111032022741572,2.5138713e-05,3.21228468,4.569081613156741
1.46009803e-07,30.247533022741557,2.79956047e-05,3.32146273,4.678259663156741
1.46153781e-07,30.39151102274156,3.09822978e-05,3.43660981,4.7934067431567415
1.46280768e-07,30.518498022741554,3.3591507e-05,3.53815523,4.894952163156741
1.4642091e-07,30.658640022741565,3.64412954e-05,3.65020638,5.0070033131567415
1.46550743e-07,30.788473022741556,3.90514088e-05,3.75400585,5.110802783156741
1.46720697e-07,30.958427022741557,4.24208825e-05,3.8898718,5.246668733156741
1.46912573e-07,31.15030302274156,4.61553403e-05,4.04324771,5.4000446431567415
1.47033389e-07,31.271119022741562,4.84660923e-05,4.13981093,5.496607863156742
1.47143424e-07,31.381154022741576,5.05416691e-05,4.22774628,5.584543213156741
1.47268475e-07,31.506205022741558,5.28654037e-05,4.32766488,5.684461813156742
1.47409507e-07,31.647237022741567,5.54392827e-05,4.44033152,5.797128453156741
1.47615048e-07,31.852778022741568,5.90967402e-05,4.60451227,5.961309203156741
1.47850808e-07,32.088538022741574,6.31466056e-05,4.79284295,6.149639883156741
1.48095937e-07,32.33366702274155,6.71818851e-05,4.98866631,6.3454632431567415
1.48358277e-07,32.596007022741574,7.12894602e-05,5.1981856,6.554982533156742
1.48662942e-07,32.90067202274155,7.5768725e-05,5.44140131,6.798198243156741
1.49046784e-07,33.28451402274157,8.09380552e-05,5.74774092,7.104537853156741
1.49434055e-07,33.67178502274157,8.55841563e-05,6.05677804,7.4135749731567415
1.49789246e-07,34.02697602274157,8.93145024e-05,6.34015155,7.696948483156741
1.50329245e-07,34.56697502274157,9.39623078e-05,6.77078906,8.12758599315674
1.50922825e-07,35.16055502274157,9.75810277e-05,7.24392892,8.60072585315674
1.51646339e-07,35.884069022741556,9.97995992e-05,7.82029767,9.17709460315674
