Frequency_Hz,Gain_dB,Phase_deg
81.6528867,86.0163615,6.88045773e-06
83.5568127,86.0163615,7.04089135e-06
85.5051331,86.0163615,7.20506654e-06
87.4988831,86.0163615,7.37306987e-06
89.5391221,86.0163615,7.5449895e-06
91.6269339,86.0163615,7.72091851e-06
93.7634279,86.0163615,7.90094847e-06
95.9497392,86.0163615,8.08517765e-06
98.1870294,86.0163615,8.27370253e-06
100.476487,86.0163615,8.46662276e-06
102.819329,86.0163615,8.66404174e-06
105.2168,86.0163615,8.86606355e-06
107.670173,86.0163615,9.07279679e-06
110.180752,86.0163615,9.28434921e-06
112.749871,86.0163615,9.50083492e-06
115.378895,86.0163615,9.72236954e-06
118.069221,86.0163615,9.94906838e-06
120.822278,86.0163615,1.01810548e-05
123.639529,86.0163615,1.04184489e-05
126.522471,86.0163615,1.06613782e-05
129.472635,86.0163615,1.09099711e-05
132.491589,86.0163615,1.11643634e-05
135.580937,86.0163615,1.14246872e-05
138.74232,86.0163615,1.16910781e-05
141.977419,86.0163615,1.1963684e-05
145.287951,86.0163615,1.22426428e-05
148.675676,86.0163615,1.25281081e-05
152.142393,86.0163615,1.28202302e-05
155.689945,86.0163615,1.31191644e-05
159.320216,86.0163615,1.34250675e-05
163.035136,86.0163615,1.37381035e-05
166.836677,86.0163615,1.40584354e-05
170.72686,86.0163615,1.43862399e-05
174.707752,86.0163615,1.47216889e-05
178.781468,86.0163615,1.50649571e-05
182.950171,86.0163615,1.54162315e-05
187.216078,86.0163615,1.57756956e-05
191.581454,86.0163615,1.61435414e-05
196.048619,86.0163615,1.65199651e-05
200.619946,86.0163615,1.69051646e-05
205.297864,86.0163615,1.72993472e-05
210.084859,86.0163615,1.77027227e-05
214.983474,86.0163615,1.81154997e-05
219.996311,86.0163615,1.85379026e-05
225.126034,86.0163615,1.89701557e-05
230.375368,86.0163615,1.94124891e-05
235.747103,86.0163615,1.98651331e-05
241.244092,86.0163615,2.03283308e-05
246.869257,86.0163615,2.0802334e-05
252.625585,86.0163615,2.12873832e-05
258.516135,86.0163615,2.1783744e-05
264.544037,86.0163615,2.22916843e-05
270.712493,86.0163615,2.2811459e-05
277.024781,86.0163615,2.33433639e-05
283.484255,86.0163615,2.3887663e-05
290.094346,86.0163615,2.4444658e-05
296.858567,86.0163615,2.50146329e-05
303.780512,86.0163615,2.55979077e-05
310.863857,86.0163615,2.6194777e-05
318.112367,86.0163615,2.68055647e-05
325.529893,86.0163615,2.74305942e-05
333.120376,86.0163615,2.80701972e-05
340.887848,86.0163615,2.87247141e-05
348.836437,86.0163615,2.93944893e-05
356.970366,86.0163615,3.00798899e-05
365.293956,86.0163615,3.07812603e-05
373.81163,86.0163615,3.14989923e-05
382.527913,86.0163615,3.22334561e-05
391.447437,86.0163615,3.2985049e-05
400.574939,86.0163615,3.37541661e-05
409.915271,86.0163615,3.45412074e-05
419.473394,86.0163615,3.53466058e-05
429.254387,86.0163615,3.61707863e-05
439.263446,86.0163615,3.70141767e-05
449.50589,86.0163615,3.78772392e-05
459.98716,86.0163615,3.87604248e-05
470.712825,86.0163615,3.96641968e-05
481.688584,86.0163615,4.05890469e-05
492.920268,86.0163615,4.15354549e-05
