Frequency_Hz,Gain_dB,Phase_deg
147.910839,86.0163599,1.24665173e-05
151.356125,86.0163599,1.27569018e-05
154.881662,86.0163599,1.30540479e-05
158.489319,86.0163599,1.33581121e-05
162.18101,86.0163599,1.36692623e-05
165.958691,86.0163599,1.39876604e-05
169.824365,86.0163599,1.43134739e-05
173.780083,86.0163599,1.46468776e-05
177.827941,86.0163599,1.49880457e-05
181.970086,86.0163599,1.53371622e-05
186.208714,86.0163599,1.56944094e-05
190.546072,86.0163599,1.60599758e-05
194.98446,86.0163599,1.64340627e-05
199.526231,86.0163599,1.68168607e-05
204.173794,86.0163599,1.72085744e-05
208.929613,86.0163599,1.7609411e-05
213.796209,86.0163599,1.80195863e-05
218.776162,86.0163599,1.84393153e-05
223.872114,86.0163599,1.88688181e-05
229.086765,86.0163599,1.93083288e-05
234.422882,86.0163599,1.97580751e-05
239.883292,86.0163599,2.02183016e-05
245.470892,86.0163599,2.06892438e-05
251.188643,86.0163599,2.11711584e-05
257.039578,86.0163599,2.16642883e-05
263.026799,86.0163599,2.21689159e-05
269.15348,86.0163599,2.26852961e-05
275.42287,86.0163599,2.32137025e-05
281.838293,86.0163599,2.37544143e-05
288.40315,86.0163599,2.43077238e-05
295.120923,86.0163599,2.48739211e-05
301.995172,86.0163599,2.54533072e-05
309.029543,86.0163599,2.60461825e-05
316.227766,86.0163599,2.66528751e-05
323.593657,86.0163599,2.72736899e-05
331.131121,86.0163599,2.7908974e-05
338.844156,86.0163599,2.85590527e-05
346.73685,86.0163599,2.92242727e-05
354.813389,86.0163599,2.99049883e-05
363.078055,86.0163599,3.06015626e-05
371.535229,86.0163599,3.13143527e-05
380.189396,86.0163599,3.20437528e-05
389.045145,86.0163599,3.27901396e-05
398.107171,86.0163599,3.35539127e-05
407.380278,86.0163599,3.4335475e-05
416.869383,86.0163599,3.51352405e-05
426.579519,86.0163599,3.59536345e-05
436.515832,86.0163599,3.67910954e-05
446.683592,86.0163599,3.76480547e-05
457.08819,86.0163599,3.85249778e-05
467.735141,86.0163599,3.94223263e-05
478.630092,86.0163599,4.03405743e-05
489.778819,86.0163599,4.12802102e-05
501.187234,86.0163599,4.22417356e-05
512.861384,86.0163599,4.32256516e-05
524.80746,86.0163599,4.42325014e-05
537.031796,86.0163599,4.52627768e-05
549.540874,86.0163599,4.63170664e-05
562.341325,86.0163599,4.73959071e-05
575.439937,86.0163599,4.84998791e-05
588.843655,86.0163599,4.96295591e-05
602.559586,86.0163599,5.07855482e-05
616.595002,86.0163599,5.1968462e-05
630.957344,86.0163599,5.31789376e-05
645.654229,86.0163599,5.44176006e-05
660.693448,86.0163599,5.56851123e-05
676.082975,86.0163599,5.69821432e-05
691.830971,86.0163599,5.83093834e-05
707.945784,86.0163599,5.96675412e-05
724.43596,86.0163599,6.10573314e-05
741.310241,86.0163599,6.24794875e-05
758.577575,86.0163599,6.39347656e-05
776.247117,86.0163599,6.5423937e-05
794.328235,86.0163599,6.69477851e-05
812.830516,86.0163599,6.85071277e-05
831.763771,86.0163599,7.01027904e-05
851.138038,86.0163599,7.17356241e-05
870.96359,86.0163599,7.34064714e-05
891.250938,86.0163599,7.51162386e-05
912.010839,86.0163599,7.68658369e-05
933.254301,86.0163599,7.86561563e-05
954.992586,86.0163599,8.04881738e-05
977.237221,86.0163599,8.23628781e-05
1000.0,86.0163599,8.42812298e-05
1023.29299,86.0163599,8.62442505e-05
1047.12855,86.0163599,8.82529843e-05
1071.51931,86.0163599,9.03085006e-05
1096.4782,86.0163599,9.24118789e-05
1122.01845,86.0163599,9.45642464e-05
1148.15362,86.0163599,9.67667506e-05
1174.89755,86.0163599,9.90205215e-05
1202.26443,86.0163599,0.00010132678
1230.26877,86.0163599,0.000103686758
1258.92541,86.0163599,0.000106101674
1288.24955,86.01636,0.00010857281
1318.25674,86.01636,0.000111101522
1348.96288,86.01636,0.000113689073
1380.38426,86.01636,0.000116336917
1412.53754,86.01636,0.000119046368
1445.43977,86.01636,0.000121818927
1479.10839,86.01636,0.000124656075
1513.56125,86.01636,0.000127559227
1548.81662,86.01636,0.000130529975
1584.89319,86.01636,0.000133569903
1621.8101,86.01636,0.000136680592
1659.58691,86.01636,0.000139863707
1698.24365,86.01636,0.000143120953
1737.80083,86.01636,0.000146453989
1778.27941,86.01636,0.000149864597
1819.70086,86.01636,0.000153354664
1862.08714,86.0163601,0.000156925884
1905.46072,86.0163601,0.000160580299
1949.8446,86.0163601,0.000164319718
1995.26231,86.0163601,0.000168146178
2041.73794,86.0163601,0.000172061734
2089.29613,86.0163601,0.000176068415
2137.96209,86.0163601,0.000180168337
2187.76162,86.0163601,0.00018436364
2238.72114,86.0163601,0.00018865657
2290.86765,86.0163602,0.000193049442
2344.22882,86.0163602,0.000197544484
2398.83292,86.0163602,0.000202144093
2454.70892,86.0163602,0.000206850734
2511.88643,86.0163602,0.000211666913
2570.39578,86.0163602,0.000216595037
2630.26799,86.0163602,0.000221637895
2691.5348,86.0163603,0.000226798045
2754.2287,86.0163603,0.000232078144
2818.38293,86.0163603,0.000237481086
2884.0315,86.0163603,0.00024300964
2951.20923,86.0163603,0.000248666781
3019.95172,86.0163604,0.000254455447
3090.29543,86.0163604,0.00026037868
3162.27766,86.0163604,0.000266439637
3235.93657,86.0163604,0.000272641464
3311.31121,86.0163605,0.000278987512
3388.44156,86.0163605,0.000285480902
3467.3685,86.0163605,0.000292125361
3548.13389,86.0163606,0.000298924088
3630.78055,86.0163606,0.000305880829
3715.35229,86.0163606,0.000312999094
3801.89396,86.0163607,0.000320282816
3890.45145,86.0163607,0.000327735618
3981.07171,86.0163608,0.000335361469
4073.80278,86.0163608,0.000343164366
4168.69383,86.0163608,0.000351148451
4265.79519,86.0163609,0.000359317891
4365.15832,86.0163609,0.0003676768
4466.83592,86.016361,0.000376229746
4570.8819,86.016361,0.000384981014
4677.35141,86.0163611,0.000393935247
4786.30092,86.0163612,0.000403097211
4897.78819,86.0163612,0.000412471536
5011.87234,86.0163613,0.00042206318
5128.61384,86.0163613,0.000431877047
5248.0746,86.0163614,0.000441918379
