Frequency_Hz,Zout_Ohm
43651583.2,1.08695033
44668359.2,1.10989948
45708819.0,1.13344003
46773514.1,1.15759861
47863009.2,1.18240173
48977881.9,1.20787584
50118723.4,1.23404753
51286138.4,1.26094358
52480746.0,1.28859112
53703179.6,1.31701773
54954087.4,1.34625151
56234132.5,1.37632124
57543993.7,1.40725646
58884365.5,1.43908754
60255958.6,1.47184582
61659500.2,1.50556369
63095734.4,1.5402747
64565422.9,1.57601363
66069344.8,1.61281664
67608297.5,1.65072133
69183097.1,1.68976687
70794578.4,1.72999412
72443596.0,1.77144569
74131024.1,1.81416613
75857757.5,1.85820199
77624711.7,1.90360199
79432823.5,1.95041713
81283051.6,1.99870081
83176377.1,2.04850904
85113803.8,2.0999005
87096359.0,2.15293677
89125093.8,2.20768248
91201083.9,2.26420546
93325430.1,2.32257695
95499258.6,2.38287177
97723722.1,2.44516856
100000000.0,2.50954994
